name,type,value,date
仓鲲娃,皇家方舟,70052,2018-07-20
辛西娅·玛格丽特,俾斯麦,61112,2018-07-20
里脊肉真好吃,胡德,58682,2018-07-20
琉璃,胡德,56891,2018-07-20
啾啾南小鸟,俾斯麦,55498,2018-07-20
哈里斯梦娜,胡德,54384,2018-07-20
夜月风云雷光,埃塞克斯,54266,2018-07-20
alon,声望,51523,2018-07-20
东方辉晔,黎赛留,51440,2018-07-20
嘉思,欧根亲王,48765,2018-07-20
凉薄已倾城,纳尔逊,48128,2018-07-20
海伦娜的娜,海伦娜,47653,2018-07-20
赤髮の白雪姬,空想,47133,2018-07-20
水之证,欧根亲王,46986,2018-07-20
Detianyouxi,纳尔逊,46763,2018-07-20
银弹,皇家方舟,46177,2018-07-20
梦里花落知多少,黎赛留,45321,2018-07-20
西行寺™幽幽子,俾斯麦,44791,2018-07-20
Sakuya,列克星敦,44546,2018-07-20
T.K,胡德,44474,2018-07-20
仓鲲娃,皇家方舟,70052,2018-07-21
辛西娅·玛格丽特,俾斯麦,61293,2018-07-21
里脊肉真好吃,胡德,58682,2018-07-21
琉璃,胡德,56891,2018-07-21
啾啾南小鸟,俾斯麦,55498,2018-07-21
哈里斯梦娜,胡德,54384,2018-07-21
夜月风云雷光,埃塞克斯,54266,2018-07-21
alon,声望,51524,2018-07-21
东方辉晔,黎赛留,51446,2018-07-21
嘉思,欧根亲王,48765,2018-07-21
凉薄已倾城,纳尔逊,48145,2018-07-21
海伦娜的娜,海伦娜,47653,2018-07-21
赤髮の白雪姬,空想,47157,2018-07-21
水之证,欧根亲王,47036,2018-07-21
Detianyouxi,纳尔逊,46806,2018-07-21
银弹,皇家方舟,46177,2018-07-21
梦里花落知多少,黎赛留,45321,2018-07-21
西行寺™幽幽子,俾斯麦,44791,2018-07-21
T.K,胡德,44692,2018-07-21
Sakuya,列克星敦,44546,2018-07-21
仓鲲娃,皇家方舟,70052,2018-07-22
辛西娅·玛格丽特,俾斯麦,61293,2018-07-22
里脊肉真好吃,胡德,58841,2018-07-22
琉璃,胡德,57048,2018-07-22
啾啾南小鸟,俾斯麦,55498,2018-07-22
哈里斯梦娜,胡德,54880,2018-07-22
夜月风云雷光,埃塞克斯,54520,2018-07-22
alon,声望,51594,2018-07-22
东方辉晔,黎赛留,51555,2018-07-22
嘉思,欧根亲王,48961,2018-07-22
凉薄已倾城,纳尔逊,48315,2018-07-22
海伦娜的娜,海伦娜,47697,2018-07-22
赤髮の白雪姬,空想,47225,2018-07-22
水之证,欧根亲王,47139,2018-07-22
Detianyouxi,纳尔逊,46906,2018-07-22
银弹,皇家方舟,46341,2018-07-22
梦里花落知多少,黎赛留,45536,2018-07-22
西行寺™幽幽子,俾斯麦,44791,2018-07-22
Sakuya,列克星敦,44759,2018-07-22
T.K,胡德,44692,2018-07-22
仓鲲娃,皇家方舟,70052,2018-07-23
辛西娅·玛格丽特,俾斯麦,61293,2018-07-23
里脊肉真好吃,胡德,59136,2018-07-23
琉璃,胡德,57234,2018-07-23
啾啾南小鸟,俾斯麦,55780,2018-07-23
夜月风云雷光,埃塞克斯,55061,2018-07-23
哈里斯梦娜,胡德,54887,2018-07-23
东方辉晔,黎赛留,51726,2018-07-23
alon,声望,51628,2018-07-23
