name,type,value,date
埃塞克斯,Andriod,22428,2018-07-09
胡德,Andriod,22418,2018-07-09
俾斯麦,Andriod,22295,2018-07-09
列克星敦,iOS,18707,2018-07-09
皇家方舟,iOS,18085,2018-07-09
昆西,Andriod,17712,2018-07-09
欧根亲王,iOS,17321,2018-07-09
声望,Andriod,16823,2018-07-09
空想,Andriod,16485,2018-07-09
萨拉托加,Andriod,16399,2018-07-09
海伦娜,Andriod,15808,2018-07-09
纳尔逊,Andriod,15428,2018-07-09
黎赛留,Andriod,15005,2018-07-09
贝尔法斯特,Andriod,14204,2018-07-09
提尔比茨,iOS,13761,2018-07-09
突击者,Andriod,13455,2018-07-09
罗德尼,iOS,12992,2018-07-09
大青花鱼,iOS,12519,2018-07-09
长春,Andriod,11892,2018-07-09
阿拉斯加,iOS,10930,2018-07-09
维内托,iOS,7786,2018-07-09
胡德,Andriod,22430,2018-07-10
埃塞克斯,Andriod,22428,2018-07-10
俾斯麦,Andriod,22295,2018-07-10
列克星敦,iOS,18707,2018-07-10
昆西,Andriod,17712,2018-07-10
声望,Andriod,16829,2018-07-10
萨拉托加,Andriod,16526,2018-07-10
空想,Andriod,16517,2018-07-10
海伦娜,Andriod,15811,2018-07-10
纳尔逊,Andriod,15462,2018-07-10
黎赛留,Andriod,15015,2018-07-10
贝尔法斯特,Andriod,14204,2018-07-10
突击者,Andriod,13471,2018-07-10
长春,Andriod,11892,2018-07-10
胡德,Andriod,22480,2018-07-11
埃塞克斯,Andriod,22462,2018-07-11
俾斯麦,Andriod,22340,2018-07-11
列克星敦,iOS,18712,2018-07-11
皇家方舟,iOS,18090,2018-07-11
昆西,Andriod,17761,2018-07-11
欧根亲王,iOS,17351,2018-07-11
声望,Andriod,16864,2018-07-11
空想,Andriod,16542,2018-07-11
萨拉托加,Andriod,16532,2018-07-11
海伦娜,Andriod,15845,2018-07-11
纳尔逊,Andriod,15471,2018-07-11
黎赛留,Andriod,15026,2018-07-11
贝尔法斯特,Andriod,14281,2018-07-11
提尔比茨,iOS,13785,2018-07-11
突击者,Andriod,13484,2018-07-11
罗德尼,iOS,13050,2018-07-11
大青花鱼,iOS,12551,2018-07-11
长春,Andriod,11921,2018-07-11
阿拉斯加,iOS,11082,2018-07-11
维内托,iOS,7791,2018-07-11
埃塞克斯,Andriod,22499,2018-07-12
胡德,Andriod,22480,2018-07-12
俾斯麦,Andriod,22340,2018-07-12
列克星敦,iOS,18712,2018-07-12
皇家方舟,iOS,18106,2018-07-12
昆西,Andriod,17761,2018-07-12
欧根亲王,iOS,17354,2018-07-12
声望,Andriod,16916,2018-07-12
空想,Andriod,16563,2018-07-12
萨拉托加,Andriod,16532,2018-07-12
海伦娜,Andriod,15845,2018-07-12
纳尔逊,Andriod,15485,2018-07-12
黎赛留,Andriod,15053,2018-07-12
贝尔法斯特,Andriod,14281,2018-07-12
提尔比茨,iOS,13790,2018-07-12
突击者,Andriod,13492,2018-07-12
罗德尼,iOS,13068,2018-07-12
大青花鱼,iOS,12629,2018-07-12
长春,Andriod,11924,2018-07-12
阿拉斯加,iOS,11094,2018-07-12
维内托,iOS,7791,2018-07-12
埃塞克斯,Andriod,22573,2018-07-15
胡德,Andriod,22533,2018-07-15
俾斯麦,Andriod,22444,2018-07-15
列克星敦,iOS,18783,2018-07-15
皇家方舟,iOS,18158,2018-07-15
昆西,Andriod,17851,2018-07-15
欧根亲王,iOS,17410,2018-07-15
声望,Andriod,17161,2018-07-15
空想,Andriod,16641,2018-07-15
萨拉托加,Andriod,16601,2018-07-15
海伦娜,Andriod,15894,2018-07-15
纳尔逊,Andriod,15532,2018-07-15
黎赛留,Andriod,15251,2018-07-15
贝尔法斯特,Andriod,14342,2018-07-15
提尔比茨,iOS,14108,2018-07-15
突击者,Andriod,13539,2018-07-15
罗德尼,iOS,13120,2018-07-15
大青花鱼,iOS,12666,2018-07-15
长春,Andriod,12007,2018-07-15
阿拉斯加,iOS,11107,2018-07-15
维内托,iOS,7832,2018-07-15
埃塞克斯,Andriod,22573,2018-07-16
俾斯麦,Andriod,22560,2018-07-16
胡德,Andriod,22533,2018-07-16
列克星敦,iOS,18794,2018-07-16
皇家方舟,iOS,18158,2018-07-16
昆西,Andriod,17876,2018-07-16
欧根亲王,iOS,17426,2018-07-16
声望,Andriod,17161,2018-07-16
空想,Andriod,16673,2018-07-16
萨拉托加,Andriod,16651,2018-07-16
海伦娜,Andriod,15894,2018-07-16
纳尔逊,Andriod,15539,2018-07-16
黎赛留,Andriod,15260,2018-07-16
贝尔法斯特,Andriod,14376,2018-07-16
提尔比茨,iOS,14112,2018-07-16
突击者,Andriod,13560,2018-07-16
罗德尼,iOS,13166,2018-07-16
大青花鱼,iOS,12681,2018-07-16
长春,Andriod,12007,2018-07-16
阿拉斯加,iOS,11139,2018-07-16
维内托,iOS,7961,2018-07-16
胡德,Andriod,22533,2018-07-17
列克星敦,iOS,18794,2018-07-17
欧根亲王,iOS,17444,2018-07-17
萨拉托加,Andriod,16701,2018-07-17
海伦娜,Andriod,15926,2018-07-17
突击者,Andriod,13579,2018-07-17
俾斯麦,Andriod,22593,2018-07-18
埃塞克斯,Andriod,22573,2018-07-18
胡德,Andriod,22533,2018-07-18
列克星敦,iOS,18866,2018-07-18
皇家方舟,iOS,18233,2018-07-18
昆西,Andriod,17896,2018-07-18
欧根亲王,iOS,17538,2018-07-18
声望,Andriod,17177,2018-07-18
萨拉托加,Andriod,16707,2018-07-18
空想,Andriod,16686,2018-07-18
海伦娜,Andriod,15929,2018-07-18
纳尔逊,Andriod,15644,2018-07-18
黎赛留,Andriod,15289,2018-07-18
贝尔法斯特,Andriod,14432,2018-07-18
提尔比茨,iOS,14146,2018-07-18
突击者,Andriod,13618,2018-07-18
罗德尼,iOS,13221,2018-07-18
大青花鱼,iOS,12805,2018-07-18
长春,Andriod,12068,2018-07-18
阿拉斯加,iOS,11142,2018-07-18
维内托,iOS,8041,2018-07-18
俾斯麦,Andriod,22593,2018-07-19
胡德,Andriod,22579,2018-07-19
埃塞克斯,Andriod,22573,2018-07-19
列克星敦,iOS,18873,2018-07-19
皇家方舟,iOS,18233,2018-07-19
昆西,Andriod,17982,2018-07-19
欧根亲王,iOS,17604,2018-07-19
声望,Andriod,17177,2018-07-19
萨拉托加,Andriod,16722,2018-07-19
空想,Andriod,16700,2018-07-19
海伦娜,Andriod,15975,2018-07-19
纳尔逊,Andriod,15647,2018-07-19
黎赛留,Andriod,15301,2018-07-19
贝尔法斯特,Andriod,14448,2018-07-19
提尔比茨,iOS,14148,2018-07-19
突击者,Andriod,13618,2018-07-19
罗德尼,iOS,13221,2018-07-19
大青花鱼,iOS,12805,2018-07-19
长春,Andriod,12068,2018-07-19
阿拉斯加,iOS,11184,2018-07-19
维内托,iOS,8041,2018-07-19
俾斯麦,Andriod,22639,2018-07-20
胡德,Andriod,22579,2018-07-20
埃塞克斯,Andriod,22573,2018-07-20
列克星敦,iOS,18909,2018-07-20
皇家方舟,iOS,18309,2018-07-20
昆西,Andriod,18003,2018-07-20
欧根亲王,iOS,17604,2018-07-20
声望,Andriod,17183,2018-07-20
萨拉托加,Andriod,16727,2018-07-20
空想,Andriod,16708,2018-07-20
海伦娜,Andriod,15975,2018-07-20
纳尔逊,Andriod,15673,2018-07-20
黎赛留,Andriod,15301,2018-07-20
贝尔法斯特,Andriod,14458,2018-07-20
提尔比茨,iOS,14159,2018-07-20
突击者,Andriod,13683,2018-07-20
罗德尼,iOS,13227,2018-07-20
大青花鱼,iOS,12819,2018-07-20
长春,Andriod,12093,2018-07-20
阿拉斯加,iOS,11189,2018-07-20
维内托,iOS,8054,2018-07-20
俾斯麦,Andriod,22639,2018-07-21
埃塞克斯,Andriod,22633,2018-07-21
胡德,Andriod,22579,2018-07-21
列克星敦,iOS,19026,2018-07-21
皇家方舟,iOS,18331,2018-07-21
昆西,Andriod,18050,2018-07-21
欧根亲王,iOS,17604,2018-07-21
声望,Andriod,17183,2018-07-21
萨拉托加,Andriod,16783,2018-07-21
空想,Andriod,16722,2018-07-21
海伦娜,Andriod,15993,2018-07-21
纳尔逊,Andriod,15684,2018-07-21
黎赛留,Andriod,15335,2018-07-21
贝尔法斯特,Andriod,14482,2018-07-21
提尔比茨,iOS,14166,2018-07-21
突击者,Andriod,13754,2018-07-21
罗德尼,iOS,13247,2018-07-21
大青花鱼,iOS,12863,2018-07-21
长春,Andriod,12099,2018-07-21
阿拉斯加,iOS,11251,2018-07-21
维内托,iOS,8174,2018-07-21
埃塞克斯,Andriod,22755,2018-07-22
俾斯麦,Andriod,22670,2018-07-22
胡德,Andriod,22633,2018-07-22
列克星敦,iOS,19026,2018-07-22
皇家方舟,iOS,18382,2018-07-22
昆西,Andriod,18133,2018-07-22
欧根亲王,iOS,17604,2018-07-22
声望,Andriod,17248,2018-07-22
萨拉托加,Andriod,16850,2018-07-22
空想,Andriod,16789,2018-07-22
海伦娜,Andriod,15996,2018-07-22
纳尔逊,Andriod,15721,2018-07-22
黎赛留,Andriod,15400,2018-07-22
贝尔法斯特,Andriod,14586,2018-07-22
提尔比茨,iOS,14190,2018-07-22
突击者,Andriod,13773,2018-07-22
罗德尼,iOS,13288,2018-07-22
大青花鱼,iOS,12863,2018-07-22
长春,Andriod,12247,2018-07-22
阿拉斯加,iOS,11334,2018-07-22
维内托,iOS,8200,2018-07-22
埃塞克斯,Andriod,22871,2018-07-23
胡德,Andriod,22754,2018-07-23
俾斯麦,Andriod,22737,2018-07-23
列克星敦,iOS,19254,2018-07-23
皇家方舟,iOS,18424,2018-07-23
昆西,Andriod,18189,2018-07-23
欧根亲王,iOS,17664,2018-07-23
声望,Andriod,17302,2018-07-23
萨拉托加,Andriod,16926,2018-07-23
空想,Andriod,16856,2018-07-23
海伦娜,Andriod,16004,2018-07-23
